2025-08-15_13:36:56, 20m, 14075371, FT8, G0MGK, IO91NJ, 223, Rx, EB2FBI, IN93CI, 281, -11
2025-08-15_13:36:57, 20m, 14076107, FT8, G0MGK, IO91NJ, 223, Rx, YL3AKH, KO16OL, 145, -3
2025-08-15_13:37:26, 20m, 14075663, FT8, G0MGK, IO91NJ, 223, Rx, UA3ZZ, KO80IO, 54, 3
2025-08-15_13:35:27, 20m, 14074691, FT8, MW7GKT, IO81JL, 294, Rx, OE6TNO, JN77RC, 206, -17
2025-08-15_13:36:27, 20m, 14075084, FT8, MW7GKT, IO81JL, 294, Rx, R9OFU, NO14, 15, -18
2025-08-15_13:36:41, 20m, 14075245, FT8, MW7GKT, IO81JL, 294, Rx, OH6DHM, KP12KS, 224, 0
2025-08-15_13:36:42, 20m, 14075325, FT8, MW7GKT, IO81JL, 294, Rx, LA1XJA, JO49TD83, 266, -3
2025-08-15_13:36:57, 20m, 14074410, FT8, MW7GKT, IO81JL, 294, Rx, R3HS, KO96GF, 54, -4
2025-08-15_13:36:57, 20m, 14074411, FT8, GW1GAU, IO81FQ, 294, Rx, R3HS, KO96GF, 54, 4
2025-08-15_13:37:12, 20m, 14074982, FT8, GW1GAU, IO81FQ, 294, Rx, WY4I, EL95SS, 291, -19
2025-08-15_13:37:27, 20m, 14075160, FT8, GW1GAU, IO81FQ, 294, Rx, WJ1X, FN31MO, 291, -11
2025-08-15_13:37:29, 20m, 14074954, FT8, GW1GAU, IO81FQ, 294, Rx, BI1FOO, OM86, 318, -24
2025-08-15_13:37:29, 20m, 14075004, FT8, GW1GAU, IO81FQ, 294, Rx, WB2SIH, FN33, 291, -24
2025-08-15_13:36:01, 20m, 14075353, FT8, M7MWX, IO91NP, 223, Rx, OZ6P, JO55UQ, 221, -11
2025-08-15_13:36:48, 20m, 14075244, FT8, M7MWX, IO91NP, 223, Rx, OH6DHM, KP12KS, 224, -12
2025-08-15_13:36:49, 20m, 14075323, FT8, M7MWX, IO91NP, 223, Rx, LA1XJA, JO49TD83, 266, 0
2025-08-15_13:36:50, 20m, 14076407, FT8, M7MWX, IO91NP, 223, Rx, IS0GFT, JM49HH, 225, -12
2025-08-15_13:36:52, 20m, 14074510, FT8, M7MWX, IO91NP, 223, Rx, 9A2TN, JN95BL, 497, -14
2025-08-15_13:36:57, 20m, 14076232, FT8, M7MWX, IO91NP, 223, Rx, E75W, JN93EU, 501, -18
2025-08-15_13:37:32, 20m, 14075664, FT8, M7MWX, IO91NP, 223, Rx, UA3ZZ, KO80IO, 54, 0
2025-08-15_13:37:33, 20m, 14074735, FT8, M7MWX, IO91NP, 223, Rx, IW3BYL, JN56NC51, 248, -8
2025-08-15_13:37:33, 20m, 14076107, FT8, M7MWX, IO91NP, 223, Rx, IK4RVY, JN64FC, 248, 4
2025-08-15_13:37:34, 20m, 14076255, FT8, M7MWX, IO91NP, 223, Rx, IK2WSA, JN45WT44, 248, -10
2025-08-15_13:37:35, 20m, 14075443, FT8, M7MWX, IO91NP, 223, Rx, LA2GCA, JO49UB, 266, -15
2025-08-15_13:37:27, 20m, 14075690, FT8, G6IQI, IO91HA, 223, Rx, UA3ZZ, KO80IO, 54, -6
2025-08-15_13:37:27, 20m, 14076133, FT8, G6IQI, IO91HA, 223, Rx, IK4RVY, JN64FC, 248, 5
2025-08-15_13:36:45, 20m, 14075373, FT8, G4IRN, IO82MO, 223, Rx, EB2FBI, IN93CI, 281, -3
2025-08-15_13:36:45, 20m, 14075084, FT8, G4IRN, IO82MO, 223, Rx, R9OFU, NO14, 15, -6
2025-08-15_13:37:30, 20m, 14074589, FT8, G8KHF, IO92KG, 223, Tx, OH6DHM, KP12KS, 224, -24
2025-08-15_13:33:33, 20m, 14076046, FT8, MW7AHM, IO81JP, 294, Tx, IU0DCF, JN61FQ, 248, -14
2025-08-15_13:34:44, 20m, 14075532, FT8, M7INZ, JO01KD, 223, Tx, IU0DCF, JN61FQ, 248, -9
2025-08-15_13:37:27, 20m, 14074657, FT8, M7GGV, IO91QM, 223, Tx, DL3LBK, JO54BI, 230, -22
2025-08-15_13:37:29, 20m, 14074765, FT8, M7DLB, IO90PS, 223, Tx, SQ5JRN, KO02NO, 269, -19
2025-08-15_13:32:15, 20m, 14076033, FT8, MW7AHM, IO81JP, 294, Tx, DL2RXE, JO62MA, 230, -24
2025-08-15_13:33:45, 20m, 14074955, FT8, 2E0JLF, IO81UT, 223, Tx, DL2RXE, JO62MA, 230, -16
2025-08-15_13:35:27, 20m, 14074592, FT8, G8KHF, IO92KG, 223, Tx, OE8YML.P, JN66RP, 206, -10
2025-08-15_13:37:27, 20m, 14074607, FT8, G8KHF, IO92KG, 223, Tx, LA1IFA, JP88GS, 266, -15
2025-08-15_13:37:29, 20m, 14074667, FT8, M7GGV, IO91QM, 223, Tx, LA1IFA, JP88GS, 266, -20
2025-08-15_13:32:45, 20m, 14076016, FT8, MW7AHM, IO81JP, 294, Tx, OE5EAN, JN68XD, 206, -12
2025-08-15_13:36:56, 20m, 14074941, FT8, 2E0JLF, IO81UT, 223, Tx, LA3LJA, JP54EH, 266, 2
2025-08-15_13:36:56, 20m, 14074654, FT8, M7GGV, IO91QM, 223, Tx, LA3LJA, JP54EH, 266, 0
2025-08-15_13:37:11, 20m, 14075504, FT8, M7INZ, JO01KD, 223, Tx, LA3LJA, JP54EH, 266, 5
2025-08-15_13:37:12, 20m, 14075891, FT8, M7OUS, IO92FK, 223, Tx, SQ9ANB, JO90VD, 269, -5
